id,category,list_type,beds,baths,sq_ft_price,sq_ft_price_USD,price_KES,price_USD,district,neighborhood,street,County,SubCounty,Latitude,Longitude
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
3429615,Studio,For Rent,1,1,46,0.433716764,13000,122.572129,Dagoretti North,Naivasha Road,Darajani,WESTLANDS,MT VIEW,-1.272926,36.731603
3410035,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Lavington,None,WESTLANDS,LAVINGTON,-1.278937,36.777798
3374884,Flat & Apartment,For Rent,3,3,47,0.443145389,65000,612.8606449,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),WESTLANDS,LORESHO,-1.258207,36.722493
3410980,Flat & Apartment,For Rent,3,0,0,0,135000,1272.864416,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3410981,Flat & Apartment,For Rent,5,0,0,0,170000,1602.866302,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3409135,Flat & Apartment,For Rent,3,0,0,0,160000,1508.580049,Dagoretti North,Kilimani,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3412468,Flat & Apartment,For Rent,2,0,0,0,120000,1131.435037,Dagoretti North,Kileleshwa,None,WESTLANDS,KILELESHWA,-1.280739,36.781686
3408622,Flat & Apartment,For Rent,2,2,0,0,140000,1320.007543,Westlands,Westlands Area,Mpaka Road,WESTLANDS,HIGHRIDGE,-1.260706,36.80827
3410408,Flat & Apartment,For Rent,3,4,0,0,250000,2357.156327,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3405774,Flat & Apartment,For Rent,3,3,0,0,230000,2168.58382,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3411301,Flat & Apartment,For Rent,4,3,39,0.367716387,85000,801.433151,Kiambu Road,Fourways Junction,None,WESTLANDS,KITISURU,-1.213161,36.837981
3389238,Flat & Apartment,For Rent,1,0,0,0,170000,1602.866302,Westlands,Riverside,None,WESTLANDS,MUTHANGARI,-1.269664,36.793534
3412370,Flat & Apartment,For Rent,3,4,66,0.62228927,200000,1885.725061,Westlands,Parklands,Limuru Road,WESTLANDS,MUTHAIGA,-1.262053,36.82551
3403096,Flat & Apartment,For Rent,1,1,67,0.631717896,85000,801.433151,Dagoretti North,Dennis Pritt,None,WESTLANDS,KILIMANI,-1.289279,36.786931
3411371,Flat & Apartment,For Rent,5,0,0,0,300000,2828.587592,Westlands,Parklands,None,WESTLANDS,MUTHAIGA,-1.259882,36.817892
3410773,Flat & Apartment,For Rent,4,0,0,0,150000,1414.293796,Westlands,General Mathenge,None,WESTLANDS,SPRING VALLEY,-1.253976,36.799695
